(1)  3 ≥ 
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[0, 1, 0, 0]
	[0, 0, 1, 0]
	[0, 0, 0, 1]

(2)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(3)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(4)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 2, 0, 0]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(5)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(6)  3 ≥ 
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[0, 1, 0, 0]
	[0, 1, 0, 0]
	[0, 0, 1, 0]
	[0, 0, 1, 0]
	[0, 0, 0, 1]

(7)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(8)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(9)  1 ≥ 
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[0, 0, 0, 0]

(10)  6 ≥ 
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(11)  3 ≥ 
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[0, 1, 0, 0]
	[0, 1, 0, 0]
	[0, 0, 1, 0]
	[0, 0, 1, 0]
	[0, 0, 0, 1]
	[0, 0, 0, 1]

(12)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(13)  3 ≥ 
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[0, 1, 0, 0]
	[0, 1, 0, 0]
	[0, 0, 1, 0]
	[0, 0, 0, 1]

(14)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(15)  3 ≥ 
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[0, 1, 0, 0]
	[0, 1, 0, 0]
	[0, 1, 0, 0]
	[0, 0, 1, 0]
	[0, 0, 0, 1]

(16)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

(17)  3 ≥ 
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[1, 0, 0, 0]
	[0, 1, 0, 0]
	[0, 1, 0, 0]
	[0, 1, 0, 0]
	[0, 0, 1, 0]
	[0, 0, 1, 0]
	[0, 0, 0, 1]

(18)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]
	[0, 0, 0, 2]

(19)  6 ≥ 
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[2, 0, 0, 0]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[1, 1, 1, 1]
	[0, 2, 0, 0]
	[0, 0, 2, 0]
	[0, 0, 0, 2]

